Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Morocco,MAR,3252913902.35666
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Mozambique,MOZ,3868353884.95
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Myanmar,MMR,4083839111.71186
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Namibia,NAM,838879062.715929
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Nepal,NPL,51895699.9282915
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Netherlands,NLD,376007766143.543
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,New Caledonia,NCL,1203895440.08717
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,New Zealand,NZL,-73372796.4211776
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Nicaragua,NIC,967000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Niger,NER,529476871.090611
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Nigeria,NGA,3064168904.45333
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,North Macedonia,MKD,296604200.381223
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Norway,NOR,7274086872.47209
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Oman,OMN,-2172431729.51885
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Pakistan,PAK,1673000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Palau,PLW,34583158.147185
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Panama,PAN,5119300000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Papua New Guinea,PNG,30027878.6317396
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Paraguay,PRY,708828254.037452
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Peru,PER,7336859044.51778
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Philippines,PHL,5639155961.87389
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Poland,POL,15820000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Portugal,PRT,1264336592.67287
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Qatar,QAT,1070879120.87912
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Romania,ROU,4317731472.30632
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Russian Federation,RUS,6852970000
